OPEID6,INSTNM,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT4_048_PUB,NPT4_3075_PUB,COSTT4_A,income_midpoints
6836.0,Motlow State Community College,9401.0,10358.0,11215.0,11349.0,14852.0,9768.0,10718.0,17002.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
21035.0,Tennessee College of Applied Technology-Murfreesboro,8581.0,9520.0,,,,8983.0,9520.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
8145.0,Nashville State Community College,6056.0,6506.0,7494.0,9216.0,10504.0,6184.0,6971.0,12777.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5283.0,Tennessee College of Applied Technology Northwest,7839.0,9438.0,,11492.0,,8176.0,9438.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
22379.0,Tennessee College of Applied Technology-Henry/Carroll,5218.0,8897.0,8209.0,,,5744.0,8668.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
9464.0,Tennessee College of Applied Technology-Pulaski,8919.0,5694.0,13775.0,13863.0,,8671.0,11082.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
12164.0,Tennessee College of Applied Technology-Ripley,11763.0,14219.0,,,,12708.0,14219.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
9914.0,Roane State Community College,2877.0,2850.0,4903.0,5156.0,6536.0,2869.0,3858.0,11160.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5357.0,Tennessee College of Applied Technology-Crump,1215.0,354.0,2065.0,,,723.0,1087.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
10439.0,Southwest Tennessee Community College,4964.0,5789.0,7191.0,7403.0,7760.0,5207.0,6320.0,12355.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5379.0,Tennessee College of Applied Technology-Shelbyville,4073.0,5432.0,6024.0,9876.0,,4952.0,5590.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
9710.0,Tennessee College of Applied Technology-Oneida-Huntsville,4311.0,5497.0,3123.0,,,4706.0,4310.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
4026.0,Tennessee College of Applied Technology-Crossville,12322.0,15213.0,11717.0,,,13093.0,14047.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5307.0,Tennessee College of Applied Technology-McMinnville,5380.0,9114.0,,,,7714.0,9114.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5354.0,Tennessee College of Applied Technology-Jackson,9367.0,8487.0,8944.0,13963.0,,9181.0,8716.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
4025.0,Tennessee College of Applied Technology-Knoxville,5770.0,9084.0,8271.0,,,6506.0,8521.0,,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
12693.0,Pellissippi State Community College,4437.0,5146.0,6442.0,8068.0,9094.0,4661.0,5823.0,12297.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3529.0,The University of Tennessee-Chattanooga,9416.0,10749.0,13747.0,17405.0,17861.0,9918.0,12361.0,23504.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
3530.0,The University of Tennessee-Knoxville,10518.0,14847.0,21897.0,25767.0,26950.0,12198.0,17659.0,32658.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
